dates,ticker,title,link
24-03-06,A005490,"김준형 ""장인화 포스코 차기 회장, 이차전지 투자 속도조절 없다""",https://finance.naver.com/item/news_read.naver?article_id=0007393754&office_id=421&code=005490&page=3&sm=
24-03-06,A005490,"“장인화號 포스코그룹, 이차전지 투자 속도 조절 없다”",https://finance.naver.com/item/news_read.naver?article_id=0005686445&office_id=018&code=005490&page=3&sm=
24-03-06,A005490,"[인터배터리 2024] 김준형 포스코홀딩스 총괄 ""SK온 계약, 포드...",https://finance.naver.com/item/news_read.naver?article_id=0002168249&office_id=138&code=005490&page=3&sm=
24-03-06,A005490,"김준형 포스코 총괄 ""中업체와 LFP 양극재 합작법인 검토 중""",https://finance.naver.com/item/news_read.naver?article_id=0000023803&office_id=648&code=005490&page=3&sm=
24-03-06,A005490,김준형 포스코 친환경미래소재총괄 “中 LFP 업체와 합작법인 검토 중...,https://finance.naver.com/item/news_read.naver?article_id=0004309106&office_id=011&code=005490&page=3&sm=
24-03-06,A005490,포스코 부스 찾은 관람객들,https://finance.naver.com/item/news_read.naver?article_id=0014546036&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,포스코 부스 찾은 관람객들,https://finance.naver.com/item/news_read.naver?article_id=0014546034&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,포스코 홀딩스 부스 살펴보는 관람객들,https://finance.naver.com/item/news_read.naver?article_id=0007393792&office_id=421&code=005490&page=3&sm=
24-03-06,A005490,포스코 부스 찾은 관람객들,https://finance.naver.com/item/news_read.naver?article_id=0014546004&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,포스코 부스 찾은 관람객들,https://finance.naver.com/item/news_read.naver?article_id=0014546003&office_id=001&code=005490&page=3&sm=
24-03-06,A005490,인터배터리 참가한 포스코 홀딩스,https://finance.naver.com/item/news_read.naver?article_id=0007393791&office_id=421&code=005490&page=3&sm=
24-03-06,A005490,포스코 홀딩스 인터배터리 전시 참가,https://finance.naver.com/item/news_read.naver?article_id=0007393795&office_id=421&code=005490&page=3&sm=
24-03-06,A005490,“어차피 같은 그룹…‘철강맨’ 포스코 회장 돼도 배터리 사업 투자 지속...,https://finance.naver.com/item/news_read.naver?article_id=0002806434&office_id=119&code=005490&page=3&sm=
24-03-06,A005490,"김준형 포스코홀딩스 미래소재총괄 ""SK온 양극재 공급, 조율 끝""",https://finance.naver.com/item/news_read.naver?article_id=0005152032&office_id=014&code=005490&page=4&sm=
24-03-06,A005490,"포스코그룹, '인터배터리 2024' 부스에 리튬사업 현장 모형 설치",https://finance.naver.com/item/news_read.naver?article_id=0014545569&office_id=001&code=005490&page=4&sm=
24-03-05,A005490,글로벌 의결권 자문사 글래스루이스 “장인화 포스코홀딩스 회장 후보 찬성...,https://finance.naver.com/item/news_read.naver?article_id=0002275925&office_id=016&code=005490&page=4&sm=
24-03-05,A005490,"글로벌 자문사 글래스루이스 ""장인화 포스코 회장 후보 찬성 권고""",https://finance.naver.com/item/news_read.naver?article_id=0003870591&office_id=079&code=005490&page=4&sm=
24-03-05,A005490,"글래스루이스 ""장인화 포스코홀딩스 회장 후보 찬성 권고""",https://finance.naver.com/item/news_read.naver?article_id=0014544719&office_id=001&code=005490&page=4&sm=
24-03-05,A005490,"포스코 회장 선임, 끝날때까지 끝난게 아니다...국민연금에 쏠린 눈",https://finance.naver.com/item/news_read.naver?article_id=0002323435&office_id=092&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, ‘인터배터리 2024’서 이차전지소재사업 현재·미래 선봬",https://finance.naver.com/item/news_read.naver?article_id=0003910650&office_id=022&code=005490&page=4&sm=
24-03-05,A005490,포스코그룹 `인터배터리 2024`서 이차전지소재 풀밸류체인 선봬,https://finance.naver.com/item/news_read.naver?article_id=0002859147&office_id=029&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리'서 전방위 이차전지소재 사업 선보인다",https://finance.naver.com/item/news_read.naver?article_id=0002328852&office_id=123&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, ‘인터배터리'서 리튬 특별부스 마련",https://finance.naver.com/item/news_read.naver?article_id=0002323327&office_id=092&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, ‘인터배터리 2024’에서 이차전지소재 선봬",https://finance.naver.com/item/news_read.naver?article_id=0002275374&office_id=016&code=005490&page=4&sm=
24-03-05,A005490,"포스코이앤씨, 지하철 9호선 역세권 ‘더샵 둔촌포레’ 6일 홍보관 개관",https://finance.naver.com/item/news_read.naver?article_id=0005685980&office_id=018&code=005490&page=4&sm=
24-03-05,A005490,포스코이앤씨 '더샵 둔촌포레' 12일 1순위 청약,https://finance.naver.com/item/news_read.naver?article_id=0005388126&office_id=277&code=005490&page=4&sm=
24-03-05,A005490,"포스코이앤씨, 9호선 역세권 '더샵 둔촌포레' 홍보관 개관",https://finance.naver.com/item/news_read.naver?article_id=0012408198&office_id=003&code=005490&page=4&sm=
24-03-05,A005490,포스코이앤씨 '더샵 둔촌포레' 이번 달 분양,https://finance.naver.com/item/news_read.naver?article_id=0001151408&office_id=215&code=005490&page=4&sm=
24-03-05,A005490,"포스코이앤씨, 서울 강동구 '더샵 둔촌포레' 홍보관 개관",https://finance.naver.com/item/news_read.naver?article_id=0004117064&office_id=076&code=005490&page=4&sm=
24-03-05,A005490,"포스코이앤씨, '더샵 둔촌포레' 분양",https://finance.naver.com/item/news_read.naver?article_id=0000817736&office_id=031&code=005490&page=4&sm=
24-03-05,A005490,"""장인화 후보 반대""…포스코홀딩스 소액주주 위임장 걷는다",https://finance.naver.com/item/news_read.naver?article_id=0001151434&office_id=215&code=005490&page=4&sm=
24-03-05,A005490,"""2000주의 반란?""…포스코 회장 선임 의결권 대리, 현실성 있나?",https://finance.naver.com/item/news_read.naver?article_id=0012408147&office_id=003&code=005490&page=4&sm=
24-03-05,A005490,포스코그룹의 '리튬·니켈-양·음극재-리사이클링-차세대 소재' 한 자리에,https://finance.naver.com/item/news_read.naver?article_id=0000072316&office_id=050&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, 인터배터리 참가…“이차전지 소재 '풀 밸류체인' 소개”",https://finance.naver.com/item/news_read.naver?article_id=0003186476&office_id=030&code=005490&page=4&sm=
24-03-05,A005490,"포스코, '인터배터리 2024'에서 이차전지 풀밸류체인 전시",https://finance.naver.com/item/news_read.naver?article_id=0005007550&office_id=008&code=005490&page=4&sm=
